วันที่,รหัสหวย,รางวัลทั้งหมด,4ตัวบน,3ตัวบน,2ตัวล่าง
2026-05-03,LV_R32,"{'lottoType': 'LV_R32', 'mainNumber': '722009', 'B4': '7220', 'B3': '220', 'B2': '20', 'L2': '09', 'T4': '0227', 'T3': '022', 'L3': []}",,,
2026-05-03,LV_R34,"{'lottoType': 'LV_R34', 'mainNumber': '458985', 'B4': '4589', 'B3': '589', 'B2': '89', 'L2': '85', 'T4': '4589', 'T3': '589', 'L3': []}",,,
2026-05-03,LV_R38,"{'lottoType': 'LV_R38', 'mainNumber': '547543', 'B4': '5475', 'B3': '475', 'B2': '75', 'L2': '43', 'T4': '4557', 'T3': '457', 'L3': []}",,,
2026-05-03,LV_R41,"{'lottoType': 'LV_R41', 'mainNumber': '327888', 'B4': '3278', 'B3': '278', 'B2': '78', 'L2': '88', 'T4': '2378', 'T3': '278', 'L3': []}",,,
2026-05-03,LV_R51,"{'lottoType': 'LV_R51', 'mainNumber': '478255', 'B4': '4782', 'B3': '782', 'B2': '82', 'L2': '55', 'T4': '2478', 'T3': '278', 'L3': []}",,,
2026-05-03,VNSPC_2,"{'lottoType': 'VNSPC_2', 'mainNumber': '0971', 'B4': '0971', 'B3': '971', 'B2': '71', 'L3': [], 'L2': '40'}",,,
2026-05-03,STIVIP,"{'lottoType': 'STIVIP', 'mainNumber': '751', 'B3': '751', 'B2': '51', 'L3': [], 'L2': '37'}",,,
2026-05-03,LV_R01,,,,
2026-05-03,SZSEVIP_1,"{'lottoType': 'SZSEVIP_1', 'mainNumber': '767', 'B3': '767', 'B2': '67', 'L3': [], 'L2': '10'}",,,
2026-05-03,LV_R25,"{'lottoType': 'LV_R25', 'mainNumber': '028955', 'B4': '0289', 'B3': '289', 'B2': '89', 'L2': '55', 'T4': '0289', 'T3': '289', 'L3': []}",,,
2026-05-03,LV_R31,"{'lottoType': 'LV_R31', 'mainNumber': '848764', 'B4': '8487', 'B3': '487', 'B2': '87', 'L2': '64', 'T4': '4788', 'T3': '478', 'L3': []}",,,
2026-05-03,HSIVIP_1,"{'lottoType': 'HSIVIP_1', 'mainNumber': '925', 'B3': '925', 'B2': '25', 'L3': [], 'L2': '27'}",,,
2026-05-03,LV_R56,"{'lottoType': 'LV_R56', 'mainNumber': '319894', 'B4': '3198', 'B3': '198', 'B2': '98', 'L2': '94', 'T4': '1389', 'T3': '189', 'L3': []}",,,
2026-05-03,LV_R55,"{'lottoType': 'LV_R55', 'mainNumber': '896624', 'B4': '8966', 'B3': '966', 'B2': '66', 'L2': '24', 'T4': '6689', 'T3': '669', 'L3': []}",,,
2026-05-03,SINGAPORE_4D,"{'lottoType': 'SINGAPORE_4D', 'A1': '6303', 'B1': '5282', 'C1': '6943', 'special': ['0773', '1703', '3869', '4550', '4899', '7136', '8197', '8810', '9048', '9907'], 'consolation': ['1036', '1247', '1559', '1637', '2195', '2691', '3379', '8204', '9629', '9812']}",,,
2026-05-03,LV_R57,"{'lottoType': 'LV_R57', 'mainNumber': '722955', 'B4': '7229', 'B3': '229', 'B2': '29', 'L2': '55', 'T4': '2279', 'T3': '229', 'L3': []}",,,
2026-05-03,LV_R58,"{'lottoType': 'LV_R58', 'mainNumber': '950956', 'B4': '9509', 'B3': '509', 'B2': '09', 'L2': '56', 'T4': '0599', 'T3': '059', 'L3': []}",,,
